year,OdName,CODE,number,AreaName,RegName,DevName
1981,Cayman Islands,CYM,0,Latin America and the Caribbean,Caribbean,Developing regions
1981,Central African Republic,CAF,0,Africa,Middle Africa,Developing regions
1981,Chad,TCD,0,Africa,Middle Africa,Developing regions
1981,Chile,CHL,430,Latin America and the Caribbean,South America,Developing regions
1981,China,CHN,870,Asia,Eastern Asia,Developing regions
1981,"China, Hong Kong Special Administrative Region",HKG,4380,Asia,Eastern Asia,Developing regions
1981,"China, Macao Special Administrative Region",MAC,80,Asia,Eastern Asia,Developing regions
1981,"China, Taiwan Province of China",TWN,270,Asia,Eastern Asia,Developing regions
1981,Colombia,COL,90,Latin America and the Caribbean,South America,Developing regions
1981,Comoros,COM,0,Africa,Eastern Africa,Developing regions
1981,Congo,COG,0,Africa,Middle Africa,Developing regions
1981,Cook Islands,COK,60,Oceania,Polynesia,Developing regions
1981,Costa Rica,CRI,20,Latin America and the Caribbean,Central America,Developing regions
1981,Côte d'Ivoire,CIV,0,Africa,Western Africa,Developing regions
1981,Croatia,HRV,0,Europe,Southern Europe,Developed regions
1981,Cuba,CUB,0,Latin America and the Caribbean,Caribbean,Developing regions
1981,Cyprus,CYP,540,Asia,Western Asia,Developing regions
1981,Czech Republic,CZE,0,Europe,Eastern Europe,Developed regions
1981,Democratic People's Republic of Korea,PRK,0,Asia,Eastern Asia,Developing regions
1981,Democratic Republic of the Congo,COD,10,Africa,Middle Africa,Developing regions
1981,Denmark,DNK,890,Europe,Northern Europe,Developed regions
1981,Djibouti,DJI,0,Africa,Eastern Africa,Developing regions
1981,Dominica,DMA,0,Latin America and the Caribbean,Caribbean,Developing regions
1981,Dominican Republic,DOM,0,Latin America and the Caribbean,Caribbean,Developing regions
1981,Ecuador,ECU,60,Latin America and the Caribbean,South America,Developing regions
1981,Egypt,EGY,400,Africa,Northern Africa,Developing regions
1981,El Salvador,SLV,0,Latin America and the Caribbean,Central America,Developing regions
1981,Equatorial Guinea,GNQ,0,Africa,Middle Africa,Developing regions
1981,Eritrea,ERI,0,Africa,Eastern Africa,Developing regions
1981,Estonia,EST,0,Europe,Northern Europe,Developed regions
1981,Ethiopia,ETH,10,Africa,Eastern Africa,Developing regions
1981,Faeroe Islands,FRO,0,Europe,Northern Europe,Developed regions
1981,Falkland Islands (Malvinas),FLK,10,Latin America and the Caribbean,South America,Developing regions
1981,Fiji,FJI,1700,Oceania,Melanesia,Developing regions
1981,Finland,FIN,250,Europe,Northern Europe,Developed regions
1981,France,FRA,1730,Europe,Western Europe,Developed regions
1981,French Guiana,GUF,0,Latin America and the Caribbean,South America,Developing regions
1981,French Polynesia,PYF,30,Oceania,Polynesia,Developing regions
1981,Gabon,GAB,0,Africa,Middle Africa,Developing regions
1981,Gambia,GMB,0,Africa,Western Africa,Developing regions
1981,Georgia,GEO,0,Asia,Western Asia,Developing regions
1981,Germany,DEU,4620,Europe,Western Europe,Developed regions
1981,Ghana,GHA,100,Africa,Western Africa,Developing regions
1981,Gibraltar,GIB,0,Europe,Southern Europe,Developed regions
